Index,Alchemy Name,Alchemy Description,Spell Might Value,TargetFlags,TargetFlags Description,Ingredient1 Index,Ingredient2 Index,Ingredient1 Name,Ingredient2 Name,Ingredient1 Cost,Ingredient2 Cost,Influence Type,Influence Type Desc,Learned Alchemy Flags (Addresses),Learned Alchemy Flags (Bit weights),[PTR] Behaviour Script,[PTR] Invocation Script,[PTR] Sprite Info,Unknown maybe Sprite related,[PTR] Alchemy Name,[PTR] Alchemy Description
0,"Acid Rain","Showers enemies with acid",17,0x2010,"Enemies: any enemy single target or multiple",20,1,"Ash","Water",1,3,0,"Direct Attack",0x2258,0x0001,0x5EE2,0x0002,0x0056,0x0000,0xC50E75,0xC50FB8
1,"Atlas","Target gets super strength",25,0x0800,"Allies: only Boy allowed",20,19,"Ash","Atlas Amulet",1,1,-1,"Other",0x2258,0x0002,0x5EE6,0x0018,0x0062,0x0000,0xC50E7F,0xC50FD2
2,"Barrier","Shields target hero",25,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",8,18,"Limestone","Bone",1,2,-1,"Other",0x2258,0x0004,0x5EEA,0x0024,0x005E,0x0000,0xC50E85,0xC50FED
3,"Call Up","Increments Call Bead max",0,0x0800,"Allies: only Boy allowed",7,14,"Meteorite","Dry Ice",1,1,-1,"Other",0x2258,0x0008,0x5EEE,0x003E,0x0088,0x0000,0xC50E8D,0xC51001
4,"Corrosion","Deadly shower",25,0x0210,"Enemies: multiple is forced, all enemies on screen",5,1,"Mushroom","Water",1,3,-1,"Other",0x2258,0x0010,0x5EF2,0x0028,0x0078,0x0002,0xC50E95,0xC5101A
5,"Crush","Crushes target enemy",62,0x2010,"Enemies: any enemy single target or multiple",8,0,"Limestone","Wax",1,1,0,"Direct Attack",0x2258,0x0020,0x5EF6,0x0014,0x0066,0x0002,0xC50E9F,0xC51028
6,"Cure","Dispels states",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,4,"Root","Oil",2,1,-1,"Other",0x2258,0x0040,0x5EFA,0x0000,0x004C,0x0000,0xC50EA5,0xC5103D
7,"Defend","Brings up defense",15,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",16,20,"Clay","Ash",1,1,-1,"Other",0x2258,0x0080,0x5EFE,0x0004,0x004E,0x0000,0xC50EAA,0xC5104C
8,"Double Drain","Steals enemy HP",50,0x2010,"Enemies: any enemy single target or multiple",13,2,"Ethanol","Vinegar",2,2,-1,"Other",0x2259,0x0001,0x5F02,0x0022,0x006A,0x0000,0xC50EB1,0xC5105E
9,"Drain","Steals some enemy HP",25,0x2010,"Enemies: any enemy single target or multiple",13,3,"Ethanol","Root",1,2,-1,"Other",0x2259,0x0002,0x5F06,0x0012,0x0068,0x0000,0xC50EBE,0xC5106E
