Index,Armor Name,Deffense Effective Value,Deffense Visual Value,Default Sell Price,Unknown_Pointer1,Unknown_Value1,[PTR] Sprite Info,[PTR] Data Info,[PTR] Armor Name
0,"Grass Vest",3,3,0,0x074E,0x00A0,0x00A0,0xC44142,0xC50A6E
1,"Shell Plate",4,4,30,0x074E,0x00A2,0x00A2,0xC4414C,0xC50A79
2,"Dino Skin",7,7,50,0x074E,0x00A4,0x00A4,0xC44156,0xC50A85
3,"Bronze Armor",12,12,70,0x074E,0x00A6,0x00A6,0xC44160,0xC50A8F
4,"Stone Vest",19,19,100,0x074E,0x00A8,0x00A8,0xC4416A,0xC50A9C
5,"Centurion Cape",28,28,120,0x074E,0x00AA,0x00AA,0xC44174,0xC50AA7
6,"Silver Mail",40,40,140,0x074E,0x00AC,0x00AC,0xC4417E,0xC50AB6
7,"Gold-Plated Vest",55,55,160,0x074E,0x00AE,0x00AE,0xC44188,0xC50AC2
8,"Shining Armor",73,73,180,0x074E,0x00B0,0x00B0,0xC44192,0xC50AD3
9,"Magna Mail",94,94,200,0x074E,0x00B2,0x00B2,0xC4419C,0xC50AE1
10,"Titanium Vest",124,124,220,0x074E,0x00B4,0x00B4,0xC441A6,0xC50AEC
11,"Virtual Vest",169,169,240,0x074E,0x00B6,0x00B6,0xC441B0,0xC50AFA
12,"Grass Hat",2,2,260,0x074E,0x00B8,0x00B8,0xC441BA,0xC50B07
13,"Shell Hat",3,3,20,0x074E,0x00BA,0x00BA,0xC441C4,0xC50B11
14,"Dino Helm",6,6,30,0x074E,0x00BC,0x00BC,0xC441CE,0xC50B1B
15,"Bronze Helmet",11,11,40,0x074E,0x00BE,0x00BE,0xC441D8,0xC50B25
16,"Obsidian Helm",18,18,50,0x074E,0x00C0,0x00C0,0xC441E2,0xC50B33
17,"Centurion Helm",27,27,60,0x074E,0x00C2,0x00C2,0xC441EC,0xC50B41
18,"Titan's Crown",39,39,70,0x074E,0x00C4,0x00C4,0xC441F6,0xC50B50
19,"Dragon Helm",54,54,80,0x074E,0x00C6,0x00C6,0xC44200,0xC50B5E
20,"Knight's Helm",72,72,90,0x074E,0x00C8,0x00C8,0xC4420A,0xC50B6A
21,"Lightning Helm",93,93,100,0x074E,0x00CA,0x00CA,0xC44214,0xC50B78
22,"Old Reliable",117,117,110,0x074E,0x00CC,0x00CC,0xC4421E,0xC50B87
23,"Brainstorm",144,144,120,0x074E,0x00CE,0x00CE,0xC44228,0xC50B94
24,"Vine Bracelet",1,1,130,0x074E,0x00D0,0x00D0,0xC44232,0xC50B9F
25,"Mammoth Guard",2,2,15,0x074E,0x00D2,0x00D2,0xC4423C,0xC50BAD
26,"Claw Guard",5,5,25,0x074E,0x00D4,0x00D4,0xC44246,0xC50BBB
27,"Serpent Bracer",10,10,35,0x074E,0x00D6,0x00D6,0xC44250,0xC50BC6
28,"Bronze Gauntlet",17,17,45,0x074E,0x00D8,0x00D8,0xC4425A,0xC50BD5
29,"Gloves Of Ra",26,26,55,0x074E,0x00DA,0x00DA,0xC44264,0xC50BE5
30,"Iron Bracer",37,37,65,0x074E,0x00DC,0x00DC,0xC4426E,0xC50BF2
31,"Magician's Ring",50,50,75,0x074E,0x00DE,0x00DE,0xC44278,0xC50BFE
32,"Dragon's Claw",65,65,85,0x074E,0x00E0,0x00E0,0xC44282,0xC50C0E
33,"Cyberglove",82,82,95,0x074E,0x00E2,0x00E2,0xC4428C,0xC50C1C
34,"Protector Ring",101,101,105,0x074E,0x00E4,0x00E4,0xC44296,0xC50C27
35,"Virtual Glove",122,122,115,0x074E,0x00E6,0x00E6,0xC442A0,0xC50C36
36,"Leather Collar",5,5,125,0x074E,0x00E8,0x00E8,0xC442AA,0xC50C44
37,"Spiky Collar",42,42,50,0x074E,0x00EA,0x00EA,0xC442B4,0xC50C53
38,"Defender Collar",86,86,100,0x074E,0x00EC,0x00EC,0xC442BE,0xC50C60
39,"Spot's Collar",135,135,150,0x074E,0x00EE,0x00EE,0xC442C8,0xC50C70
