Index,Ingredient Name,Graphic Setup,[PTR] Sprite Info,[PTR] Sprite,[PTR] Ingredient Name
0,"Wax",0x758E7FA4,0x0140,0xCD4EE3,0xC51323
1,"Water",0x3A07D9A0,0x013E,0xCD4EDC,0xC51314
2,"Vinegar",0x56AD61B2,0x013C,0xCD4ED5,0xC5132F
3,"Root",0x3CF5FB26,0x013A,0xCD4ECE,0xC5130F
4,"Oil",0xA0CB54BD,0x0138,0xCD4EC7,0xC513A4
5,"Mushroom",0x52B05FB2,0x0136,0xCD4EC0,0xC51378
6,"Mud Pepper",0x4DA0C43B,0x0134,0xCD4EB9,0xC51304
7,"Meteorite",0xF60927C9,0x0132,0xCD4EB2,0xC51392
8,"Limestone",0x56ABA04E,0x0130,0xCD4EAB,0xC5133C
9,"Iron",0xD32CF5FB,0x012E,0xCD4EA4,0xC51365
10,"Gunpowder",0xA9758E7F,0x012A,0xCD4E96,0xC51381
11,"Grease",0xA44AF7E9,0x0128,0xCD4E8F,0xC5138B
12,"Feather",0xA046BC62,0x0126,0xCD4E88,0xC51370
13,"Ethanol",0xA05ED32C,0x0124,0xCD4E81,0xC51353
14,"Dry Ice",0xF4A0BC54,0x0122,0xCD4E7A,0xC5139C
15,"Crystal",0xAE61916E,0x0120,0xCD4E73,0xC51327
16,"Clay",0xB44BA4E5,0x011E,0xCD4E6C,0xC5131A
17,"Brimstone",0x1A06FA26,0x011C,0xCD4E65,0xC5135B
18,"Bone",0xCB55ACA4,0x011A,0xCD4E5E,0xC51337
19,"Atlas Amulet",0x35CB53B4,0x012C,0xCD4E9D,0xC51346
20,"Ash",0x35CB649E,0x0118,0xCD4E57,0xC5131F
21,"Acorn",0x1827A0B9,0x0142,0xCD4EEA,0xC5136A
