Index,Alchemy Name,Alchemy Description,Spell Might Value,TargetFlags,TargetFlags Description,Ingredient1 Index,Ingredient2 Index,Ingredient1 Name,Ingredient2 Name,Ingredient1 Cost,Ingredient2 Cost,Influence Type,Influence Type Desc,Learned Alchemy Flags (Addresses),Learned Alchemy Flags (Bit weights),[PTR] Behaviour Script,[PTR] Invocation Script,[PTR] Sprite Info,Unknown maybe Sprite related,[PTR] Alchemy Name,[PTR] Alchemy Description
0,"Pluie Acide","Pluie d'acide sur les ennemis",17,0x2010,"Enemies: any enemy single target or multiple",20,1,"Cendre","Eau",1,3,0,"Direct Attack",0x2258,0x0001,0x5EE2,0x0002,0x0056,0x0000,0xC40D57,0xC40EAF
1,"Atlas","La cible devient maousse costaud",25,0x0800,"Allies: only Boy allowed",20,19,"Cendre","Atlas",1,1,-1,"Other",0x2258,0x0002,0x5EE6,0x0018,0x0062,0x0000,0xC40D63,0xC40ECD
2,"Barrière","Protège la cible du héros",25,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",8,18,"Calcaire","Os",1,2,-1,"Other",0x2258,0x0004,0x5EEA,0x0024,0x005E,0x0000,0xC40D69,0xC40EEE
3,"Appel","Fournit un Chapelet",0,0x0800,"Allies: only Boy allowed",7,14,"Météorite","Glace",1,1,-1,"Other",0x2258,0x0008,0x5EEE,0x003E,0x0088,0x0000,0xC40D72,0xC40F08
4,"Corrosion","Pluie létale",25,0x0210,"Enemies: multiple is forced, all enemies on screen",5,1,"Champignon","Eau",1,3,-1,"Other",0x2258,0x0010,0x5EF2,0x0028,0x0078,0x0002,0xC40D78,0xC40F1C
5,"Broyeur","Ecrase la cible ennemie",62,0x2010,"Enemies: any enemy single target or multiple",8,0,"Calcaire","Cire",1,1,0,"Direct Attack",0x2258,0x0020,0x5EF6,0x0014,0x0066,0x0002,0xC40D82,0xC40F29
6,"Cure","Guérit les statuts",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,4,"Racine","Huile",2,1,-1,"Other",0x2258,0x0040,0x5EFA,0x0000,0x004C,0x0000,0xC40D8A,0xC40F41
7,"Défense","Augmente la défense",15,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",16,20,"Argile","Cendre",1,1,-1,"Other",0x2258,0x0080,0x5EFE,0x0004,0x004E,0x0000,0xC40D8F,0xC40F54
8,"Double Videur","Ote les PV de l'ennemi",50,0x2010,"Enemies: any enemy single target or multiple",13,2,"Alcool","Vinaigre",2,2,-1,"Other",0x2259,0x0001,0x5F02,0x0022,0x006A,0x0000,0xC40D97,0xC40F68
9,"Videur","Ote quelques PV à l'ennemi",25,0x2010,"Enemies: any enemy single target or multiple",13,3,"Alcool","Racine",1,2,-1,"Other",0x2259,0x0002,0x5F06,0x0012,0x0068,0x0000,0xC40DA5,0xC40F7F
10,"Tonic","Augmente vitesse d'attaque",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",15,9,"Cristal","Fer",1,1,-1,"Other",0x2259,0x0004,0x5F0A,0x0040,0x008A,0x0000,0xC40DAC,0xC40F9A
11,"Fuite","Pour sortir d'un dédale",0,0x0208,"Allies: only multiple Boy & Dog allowed (don't select him if it's dead)",0,2,"Cire","Vinaigre",1,1,-1,"Other",0x2259,0x0008,0x5F0E,0x0020,0x0060,0x0002,0xC40DB2,0xC40FB5
12,"Explosion","Détruit les barrières",87,0x2010,"Enemies: any enemy single target or multiple",13,20,"Alcool","Cendre",2,1,0,"Direct Attack",0x2259,0x0010,0x5F12,0x0030,0x0076,0x0002,0xC40DB8,0xC40FCD
13,"Boule de Feu","Destruction enflammée !",62,0x2010,"Enemies: any enemy single target or multiple",17,20,"Soufre","Cendre",1,2,0,"Direct Attack",0x2259,0x0020,0x5F1A,0x001E,0x006C,0x0002,0xC40DC2,0xC40FE3
14,"Destructeur","Endommage l'ennemi",112,0x2010,"Enemies: any enemy single target or multiple",12,17,"Plume","Soufre",1,1,0,"Direct Attack",0x2259,0x0040,0x5F16,0x002A,0x0072,0x0002,0xC40DCF,0xC40FFB
15,"Feu","Petite boule de feu",27,0x2010,"Enemies: any enemy single target or multiple",0,4,"Cire","Huile",1,2,0,"Direct Attack",0x2259,0x0080,0x5F1E,0x0006,0x0052,0x0002,0xC40DDB,0xC4100E
16,"Absorbant","Attaque suiv. n'affectant pas héros",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",11,9,"Graisse","Fer",1,1,-1,"Other",0x225A,0x0001,0x5F22,0x0042,0x008C,0x0000,0xC40DDF,0xC41022
17,"Boule Dure","Anéantit la cible",21,0x2010,"Enemies: any enemy single target or multiple",15,16,"Cristal","Argile",1,1,0,"Direct Attack",0x225A,0x0002,0x5F26,0x0010,0x0054,0x0002,0xC40DE9,0xC41046
18,"Guérison","Restaure des PV",32,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,1,"Racine","Eau",1,1,2,"Healing",0x225A,0x0004,0x5F2A,0x0008,0x004A,0x0000,0xC40DFD,0xC41076
19,"Shrapnel","Projectile pointu",50,0x2010,"Enemies: any enemy single target or multiple",9,21,"Fer","Gland",1,1,0,"Direct Attack",0x225A,0x0008,0x5F2E,0x0026,0x007C,0x0000,0xC40E06,0xC41086
20,"Laser","Réduit de moitié les PV",0,0x2010,"Enemies: any enemy single target or multiple",15,17,"Cristal","Soufre",1,1,-1,"Other",0x225A,0x0010,0x5F32,0x0002,0x0086,0x0002,0xC40E0F,0xC41098
21,"Lévitation","Soulève les gros objets",0,0x0022,"Objects: boulders",1,6,"Eau","Poivron",1,1,-1,"Other",0x225A,0x0020,0x5F36,0x000A,0x0048,0x0002,0xC40E15,0xC410B0
22,"Eclair","Un éclair puissant",87,0x2010,"Enemies: any enemy single target or multiple",9,20,"Fer","Cendre",1,2,0,"Direct Attack",0x225A,0x0040,0x5F3A,0x0032,0x0074,0x0002,0xC40E20,0xC410C8
23,"Cure Miracle","Restaure statuts & PV",37,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",3,2,"Racine","Vinaigre",2,1,-1,"Other",0x225A,0x0080,0x5F3E,0x000E,0x005A,0x0000,0xC40E27,0xC410DB
24,"Nitro","Méga explosion",112,0x2010,"Enemies: any enemy single target or multiple",10,11,"Poudre","Graisse",1,2,0,"Direct Attack",0x225B,0x0001,0x5F42,0x003A,0x0080,0x0002,0xC40E42,0xC41106
25,"Cocktail","Restaure PV de la cible",0,0x0800,"Allies: only Boy allowed",12,3,"Plume","Racine",1,1,-1,"Other",0x225B,0x0002,0x5F46,0x002C,0x0070,0x0000,0xC40E48,0xC41115
26,"Reflet","Reflète la magie",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",11,9,"Graisse","Fer",2,1,-1,"Other",0x225B,0x0004,0x5F4A,0x003C,0x0084,0x0002,0xC40E51,0xC4112D
27,"Repousse","PV du héros remontent doucement",2,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",21,1,"Gland","Eau",1,2,-1,"Other",0x225B,0x0008,0x5F4E,0x002E,0x007A,0x0002,0xC40E58,0xC4113E
28,"Révélateur","Révèle les chemins cachés",0,0x4002,"Objects: hidden paths",20,0,"Cendre","Cire",2,1,-1,"Other",0x225B,0x0010,0x5F52,0x001C,0x0058,0x0002,0xC40E61,0xC4115E
29,"Renaissance","Ressuscite le chien",12,0x1400,"Allies: only dead Dog allowed",3,18,"Racine","Os",3,1,-1,"Other",0x225B,0x0020,0x5F56,0x001A,0x005C,0x0000,0xC40E6C,0xC41178
30,"Dissuasif","Ote graduellement PV de la cible",1,0x2010,"Enemies: any enemy single target or multiple",9,17,"Fer","Soufre",1,1,-1,"Other",0x225B,0x0040,0x5F5A,0x0034,0x007E,0x0002,0xC40E78,0xC4118C
31,"Vitesse","Augmente agilité de la cible",25,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",0,1,"Cire","Eau",1,2,-1,"Other",0x225B,0x0080,0x5F5E,0x000C,0x0050,0x0000,0xC40E82,0xC411AD
32,"Dard","Pique la cible ennemie",75,0x2010,"Enemies: any enemy single target or multiple",1,2,"Eau","Vinaigre",2,1,0,"Direct Attack",0x225C,0x0001,0x5F62,0x0016,0x0064,0x0002,0xC40E95,0xC41204
33,"Arrêt","Arrête l'attaque ennemie",0,0x2010,"Enemies: any enemy single target or multiple",0,15,"Cire","Cristal",2,1,-1,"Other",0x225C,0x0002,0x5F66,0x0038,0x0082,0x0000,0xC40E9A,0xC4121B
34,"Super Guérison","PV des deux héros restaurés",62,0x0208,"Allies: only multiple Boy & Dog allowed (don't select him if it's dead)",13,21,"Alcool","Gland",2,1,2,"Healing",0x225C,0x0004,0x5F6A,0x0036,0x006E,0x0000,0xC40EA0,0xC41234
