Index,NPC Name,HP,Attack,Defense,Magic Defense,Evade,Hit,Aggresion Range,Aggresion Chance Code,Aggresion Chance (%),Unique Trait Flags,Unique Trait Flags Desc,Attack Properties,Attack Properties Desc,Experience,Money,Chanze Prize Drop Code,Chanze Prize Drop (%),Chargeup limit,Chargeup gain per frame,Unknown maybe collision related,Palette,Death Script - NoSpoils,Death Script - Spoils,Block Script,[PTR] NPC Stats,[PTR] NPC Name
0,"Dinoretors",120,61,160,32,30,60,32,0x00FF,99.6094,0,"NONE",0,"Normal",20,20,0x00,0.0000,1024,10,16,0xBBF0,0x4486,0x0000,0x48EE,0xCEC536,0xC416B8
1,"Osvol",200,36,0,16,0,80,80,0x0032,19.5313,0,"NONE",0,"Normal",20,20,0x08,6.2500,1024,10,14,0xBC10,0x4486,0x449E,0x0000,0xCEC580,0xC4145F
2,"Feu Follet",40,41,160,0,8,35,55,0x0032,19.5313,0,"NONE",0,"Normal",20,20,0x00,0.0000,1024,10,8,0xBFF0,0x4486,0x0000,0x0000,0xCEC5CA,0xC41562
3,"Cobrastoïc",100,88,1200,51,0,100,80,0x00C8,78.1250,0,"NONE",24,"If hits, inflicts Poison",100,10,0x00,0.0000,1024,40,0,0xBBD0,0x4486,0x0000,0x0000,0xCEC614,0xC416AD
4,"Cobrastoïc",100,88,1200,51,0,100,80,0x00C8,78.1250,0,"NONE",24,"If hits, inflicts Poison",100,10,0x00,0.0000,1024,40,0,0xBBD0,0x4486,0x0000,0x0000,0xCEC65E,0xC416AD
5,"Globin",120,47,88,0,10,60,55,0x0032,19.5313,0,"NONE",0,"Normal",150,100,0x08,6.2500,1024,12,10,0xB8B0,0x4486,0x44A2,0x0000,0xCEC6A8,0xC41633
6,"Verhissô",90,53,180,38,10,60,50,0x0050,31.2500,0,"NONE",0,"Normal",180,10,0x08,6.2500,1024,8,10,0xB850,0x4486,0x44A2,0x0000,0xCEC6F2,0xC4162A
7,"Sal'Goss'",700,85,200,32,30,60,32,0x0064,39.0625,0,"NONE",0,"Normal",400,333,0x00,0.0000,1024,10,8,0xB7F0,0x57DE,0x0000,0x462E,0xCEC73C,0xC416C3
8,"Vol-au-Vent",60,23,80,0,10,20,55,0x0032,19.5313,0,"NONE",0,"Normal",50,40,0x0C,9.3750,1024,5,10,0xBD30,0x4486,0x44A2,0x0000,0xCEC786,0xC41764
9,"Mominou",100,41,240,0,8,40,25,0x0046,27.3438,0,"NONE",0,"Normal",160,60,0x08,6.2500,1024,12,7,0xBD10,0x4486,0x44A2,0x0000,0xCEC7D0,0xC4175C
10,"Smarouge",100,110,240,0,15,50,0,0x0000,0.0000,0,"NONE",0,"Normal",600,40,0x08,6.2500,1024,8,10,0xBDD0,0x448E,0x44A6,0x0000,0xCEC81A,0xC41753
