Index,Weapon Name,Attack Power,Familie,Familie Desc,Obtained Flags (Addresses),Obtained Flags (Bit weights),Description,Unknown Raw Data [01],Unknown Raw Data [02],Unknown Raw Data [03],Unknown Raw Data [04],Unknown Raw Data [05],Unknown Raw Data [06],Unknown Raw Data [07],Unknown Raw Data [08],Unknown Raw Data [09],Unknown Raw Data [10],Unknown Raw Data [11],Unknown Raw Data [12],Unknown Raw Data [13],Unknown Raw Data [14],Unknown Raw Data [15],Unknown Raw Data [16],[PTR] Data Info,[PTR] Weapon Name,[PTR] Weapon Description
0,"Fémur",10,0x0000,"Sword",0x22DA,0x0002,"Parfait pour écrabouiller les moustiques",0xAD70,0x0020,0x457E,0x458E,0x459E,0x45BE,0x45CE,0x45DE,0x45EE,0x45AE,0x456E,0x44FE,0x44FE,0x0028,0x0000,0x0000,0xC33F26,0xC40797,0xC40800
1,"Gladiatrice",20,0x0000,"Sword",0x22DA,0x0004,"Ancienne lame à la force mythique",0xAD90,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002A,0x0000,0x0000,0xC33F4A,0xC40779,0xC40879
2,"Croisée",30,0x0000,"Sword",0x22DA,0x0008,"Née du feu, elle arme la main du héros",0xADF0,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002C,0x0000,0x0000,0xC33F6E,0xC40785,0xC40829
3,"Nucléaire",50,0x0000,"Sword",0x22DA,0x0010,"Faite de neutronium, c'est l'épée ultime",0xADD0,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002E,0x0000,0x0000,0xC33F92,0xC4078D,0xC40850
4,"Silex",15,0x0002,"Axe",0x22DA,0x0020,"Avec cette hache, coupez et découpez !",0xAD30,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0030,0x0000,0x0000,0xC33FB6,0xC4079D,0xC4089B
5,"Bronze",25,0x0002,"Axe",0x22DA,0x0040,"Assez solide pour briser les rochers",0xADB0,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0032,0x0000,0x0000,0xC33FDA,0xC407A3,0xC408C2
6,"Chevalier",35,0x0002,"Axe",0x22DA,0x0080,"Pulvérise les ennemis",0xADF0,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0034,0x0000,0x0000,0xC33FFE,0xC407AA,0xC408E7
7,"Atomik",50,0x0002,"Axe",0x22DB,0x0001,"Fend les bûches, les armes... les têtes et les atomes",0xADD0,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0036,0x0000,0x0000,0xC34022,0xC407B4,0xC408FD
8,"Piqueuse",20,0x0004,"Spear",0x22DB,0x0002,"Pas seulement utile pour les Bar-b-Q",0xAD90,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x0038,0x0000,0x0000,0xC34046,0xC407BB,0xC40933
9,"Pointeuse",30,0x0004,"Spear",0x22DB,0x0004,"Si les Phoéniciens l'utilisaient, pourquoi pas vous ?",0xADB0,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003A,0x0000,0x0000,0xC3406A,0xC407C4,0xC40958
10,"Lanceuse",40,0x0004,"Spear",0x22DB,0x0008,"L'essayer, c'est l'adopter",0xADF0,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003C,0x0000,0x0000,0xC3408E,0xC407CE,0xC4098E
11,"Laser",50,0x0004,"Spear",0x22DB,0x0010,"L'arme du guerrier du futur",0xADD0,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003E,0x0000,0x0000,0xC340B2,0xC407D7,0xC409A9
12,"Feutron",200,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD50,0x0078,0x486A,0x485A,0x484A,0x452E,0x480A,0x480A,0x480A,0x483A,0x456E,0x0000,0x0000,0x0042,0x0000,0x0000,0xC340D6,0xC407DD,0x000000
13,"Partitron",350,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD50,0x0078,0x486A,0x485A,0x484A,0x452E,0x481A,0x481A,0x481A,0x483A,0x456E,0x0000,0x0000,0x0044,0x0000,0x0000,0xC340FA,0xC407E5,0x000000
14,"Mégatron",800,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD50,0x0078,0x486A,0x485A,0x484A,0x452E,0x482A,0x482A,0x482A,0x483A,0x456E,0x0000,0x0000,0x0046,0x0000,0x0000,0xC3411E,0xC407EF,0x000000
