Index,Armor Name,Defense Effective Value,Defense Visual Value,Default Sell Price,Unknown_Pointer1,Unknown_Value1,[PTR] Sprite Info,[PTR] Data Info,[PTR] Armor Name
0,"Moosweste",3,3,0,0x0753,0x00A0,0x00A0,0xC44142,0xC509AE
1,"Panzerrüstung",4,4,30,0x0753,0x00A2,0x00A2,0xC4414C,0xC509B8
2,"Raptorleder",7,7,50,0x0753,0x00A4,0x00A4,0xC44156,0xC509C6
3,"Bronzerüstung",12,12,70,0x0753,0x00A6,0x00A6,0xC44160,0xC509D2
4,"Granitpanzer",19,19,100,0x0753,0x00A8,0x00A8,0xC4416A,0xC509E0
5,"Römertoga",28,28,120,0x0753,0x00AA,0x00AA,0xC44174,0xC509ED
6,"Silberrüstung",40,40,140,0x0753,0x00AC,0x00AC,0xC4417E,0xC509F7
7,"Goldrüstung",55,55,160,0x0753,0x00AE,0x00AE,0xC44188,0xC50A05
8,"Neonweste",73,73,180,0x0753,0x00B0,0x00B0,0xC44192,0xC50A11
9,"Stahlpanzer",94,94,200,0x0753,0x00B2,0x00B2,0xC4419C,0xC50A1B
10,"Titaniumweste",124,124,220,0x0753,0x00B4,0x00B4,0xC441A6,0xC50A27
11,"Cyberweste",169,169,240,0x0753,0x00B6,0x00B6,0xC441B0,0xC50A35
12,"Hippiemütze",2,2,260,0x0753,0x00B8,0x00B8,0xC441BA,0xC50A40
13,"Panzerhelm",3,3,20,0x0753,0x00BA,0x00BA,0xC441C4,0xC50A4C
14,"Schädelhelm",6,6,30,0x0753,0x00BC,0x00BC,0xC441CE,0xC50A57
15,"Bronzehelm",11,11,40,0x0753,0x00BE,0x00BE,0xC441D8,0xC50A63
16,"Blecheimer",18,18,50,0x0753,0x00C0,0x00C0,0xC441E2,0xC50A6E
17,"Römerhelm",27,27,60,0x0753,0x00C2,0x00C2,0xC441EC,0xC50A79
18,"Titanenkrone",39,39,70,0x0753,0x00C4,0x00C4,0xC441F6,0xC50A83
19,"Drachenhelm",54,54,80,0x0753,0x00C6,0x00C6,0xC44200,0xC50A90
20,"Ritterhelm",72,72,90,0x0753,0x00C8,0x00C8,0xC4420A,0xC50A9C
21,"Blitzableiter",93,93,100,0x0753,0x00CA,0x00CA,0xC44214,0xC50AA7
22,"Lampenschirm",117,117,110,0x0753,0x00CC,0x00CC,0xC4421E,0xC50AB5
23,"Elektrohelm",144,144,120,0x0753,0x00CE,0x00CE,0xC44228,0xC50AC2
24,"Gemüsearmband",1,1,130,0x0753,0x00D0,0x00D0,0xC44232,0xC50ACE
25,"Bleiarmband",2,2,15,0x0753,0x00D2,0x00D2,0xC4423C,0xC50ADC
26,"Klauenreif",5,5,25,0x0753,0x00D4,0x00D4,0xC44246,0xC50AE8
27,"Schlangenarmband",10,10,35,0x0753,0x00D6,0x00D6,0xC44250,0xC50AF3
28,"Bronzeklaue",17,17,45,0x0753,0x00D8,0x00D8,0xC4425A,0xC50B04
29,"Feuerfetisch",26,26,55,0x0753,0x00DA,0x00DA,0xC44264,0xC50B10
30,"Eisenarmband",37,37,65,0x0753,0x00DC,0x00DC,0xC4426E,0xC50B1D
31,"Roys Ring",50,50,75,0x0753,0x00DE,0x00DE,0xC44278,0xC50B2A
32,"Drachenklaue",65,65,85,0x0753,0x00E0,0x00E0,0xC44282,0xC50B34
33,"Cyberhandschuh",82,82,95,0x0753,0x00E2,0x00E2,0xC4428C,0xC50B41
34,"Karmaring",101,101,105,0x0753,0x00E4,0x00E4,0xC44296,0xC50B50
35,"Elektroarmband",122,122,115,0x0753,0x00E6,0x00E6,0xC442A0,0xC50B5A
36,"Lederhalsband",5,5,125,0x0753,0x00E8,0x00E8,0xC442AA,0xC50B69
37,"Nietenhalsband",42,42,50,0x0753,0x00EA,0x00EA,0xC442B4,0xC50B77
38,"Silberhalsband",86,86,100,0x0753,0x00EC,0x00EC,0xC442BE,0xC50B86
39,"Juwelenhalsband",135,135,150,0x0753,0x00EE,0x00EE,0xC442C8,0xC50B95
