Index,Call Bead Spell Name,Spell Might Value,TargetFlags,TargetFlags Description,Influence Type,Influence Type Desc,[PTR] Invocation Script,[PTR] Sprite Info,[PTR] Sprite Related,Unknown Value 1,Unknown Value 2,[PTR] Call Bead Spell Name
0,"Reinkarnation",200,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",2,"Healing",0x0044,0x00F8,0x5BF2,0xC310,0x0000,0xC514B4
1,"Hitzewelle",225,0x0210,"Enemies: multiple is forced, all enemies on screen",0,"Direct Attack",0x0046,0x00FA,0x5BEE,0xC330,0x0002,0xC5149C
2,"Orkantornado",225,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x0048,0x00FC,0x5BFA,0xC330,0x0004,0xC514A7
3,"Feuerhölle",150,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x004A,0x00FE,0x5BF6,0xC330,0x0006,0xC51491
4,"Zeitsprung",0,0x0288,"Allies: only multiple Boy & Dog allowed (selects him both alive or dead)",-1,"Other",0x004C,0x0100,0x5BFE,0xC310,0x0008,0xC514C2
5,"Erste Hilfe",400,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",2,"Healing",0x004E,0x0102,0x5C02,0xC330,0x000A,0xC514CD
6,"Konfusion",12,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x0050,0x0104,0x5C06,0xC310,0x000C,0xC514D9
7,"Blitzgenesung",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0052,0x0106,0x5C0A,0xC310,0x000E,0xC514E3
8,"Aura",50,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0054,0x0108,0x5C0E,0xC310,0x0010,0xC514F1
9,"Schockwelle",281,0x0210,"Enemies: multiple is forced, all enemies on screen",0,"Direct Attack",0x0056,0x010A,0x5C12,0xC330,0x0012,0xC514F6
10,"Schild",62,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0058,0x010C,0x5C16,0xC310,0x0014,0xC51502
11,"Beulenpest",40,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x005A,0x010E,0x5C1A,0xC330,0x0016,0xC51509
12,"Trance",62,0x0210,"Enemies: multiple is forced, all enemies on screen",-1,"Other",0x005C,0x0110,0x5C1E,0xC330,0x0018,0xC51514
13,"Disruptor",150,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x005E,0x0116,0x5C2A,0xC310,0x001A,0xC5153E
14,"Regeneration",12,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0060,0x0112,0x5C22,0xC310,0x001C,0xC51525
15,"Stromschock",331,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x0062,0x0114,0x5C26,0xC310,0x001E,0xC51532
