Index,Ingredient Name,Graphic Setup,[PTR] Sprite Info,[PTR] Sprite,[PTR] Ingredient Name
0,"Wachs",0x758E7FA4,0x0140,0xCD4EE3,0xC513BD
1,"Wasser",0x3A07D9A0,0x013E,0xCD4EDC,0xC513AB
2,"Essig",0x56AD61B2,0x013C,0xCD4ED5,0xC513CC
3,"Wurzel",0x3CF5FB26,0x013A,0xCD4ECE,0xC513A4
4,"Öl",0xA0CB54BD,0x0138,0xCD4EC7,0xC51447
5,"Pilz",0x52B05FB2,0x0136,0xCD4EC0,0xC51419
6,"Pfeffer",0x4DA0C43B,0x0134,0xCD4EB9,0xC5139C
7,"Mondstein",0xF60927C9,0x0132,0xCD4EB2,0xC51432
8,"Kalkstein",0x56ABA04E,0x0130,0xCD4EAB,0xC513DE
9,"Eisenerz",0xD32CF5FB,0x012E,0xCD4EA4,0xC51403
10,"Dynamit",0xA9758E7F,0x012A,0xCD4E96,0xC5141E
11,"Schmierfett",0xA44AF7E9,0x0128,0xCD4E8F,0xC51426
12,"Feder",0xA046BC62,0x0126,0xCD4E88,0xC51413
13,"Äthanol",0xA05ED32C,0x0124,0xCD4E81,0xC513F2
14,"Trockeneis",0xF4A0BC54,0x0122,0xCD4E7A,0xC5143C
15,"Kristall",0xAE61916E,0x0120,0xCD4E73,0xC513C3
16,"Lehm",0xB44BA4E5,0x011E,0xCD4E6C,0xC513B2
17,"Schwefel",0x1A06FA26,0x011C,0xCD4E65,0xC513FA
18,"Knochenteil",0xCB55ACA4,0x011A,0xCD4E5E,0xC513D2
19,"Arnitamin",0x35CB53B4,0x012C,0xCD4E9D,0xC513E8
20,"Asche",0x35CB649E,0x0118,0xCD4E57,0xC513B7
21,"Eichel",0x1827A0B9,0x0142,0xCD4EEA,0xC5140C
