Index,NPC Name,HP,Attack,Defense,Magic Defense,Evade,Hit,Aggresion Range,Aggresion Chance Code,Aggresion Chance (%),Unique Trait Flags,Unique Trait Flags Desc,Attack Properties,Attack Properties Desc,Experience,Money,Chanze Prize Drop Code,Chanze Prize Drop (%),Chargeup limit,Chargeup gain per frame,Unknown maybe collision related,Palette,Death Script - NoSpoils,Death Script - Spoils,Block Script,[PTR] NPC Stats,[PTR] NPC Name
0,"Doppelgänger",120,61,160,32,30,60,32,0x00FF,99.6094,0,"NONE",0,"Normal",20,20,0x00,0.0000,1024,10,16,0xBBF0,0x4486,0x0000,0x48EE,0xCEC536,0xC518FB
1,"Flatterschädel",200,36,0,16,0,80,80,0x0032,19.5313,0,"NONE",0,"Normal",20,20,0x08,6.2500,1024,10,14,0xBC10,0x4486,0x449E,0x0000,0xCEC580,0xC515E5
2,"Irrlicht",40,41,160,0,8,35,55,0x0032,19.5313,0,"NONE",0,"Normal",20,20,0x00,0.0000,1024,10,8,0xBFF0,0x4486,0x0000,0x0000,0xCEC5CA,0xC5173B
3,"Ureusstatue",100,88,1200,51,0,100,80,0x00C8,78.1250,0,"NONE",24,"If hits, inflicts Poison",100,10,0x00,0.0000,1024,40,0,0xBBD0,0x4486,0x0000,0x0000,0xCEC614,0xC518EF
4,"Ureusstatue",100,88,1200,51,0,100,80,0x00C8,78.1250,0,"NONE",24,"If hits, inflicts Poison",100,10,0x00,0.0000,1024,40,0,0xBBD0,0x4486,0x0000,0x0000,0xCEC65E,0xC518EF
5,"Oglin",120,47,88,0,10,60,55,0x0032,19.5313,0,"NONE",0,"Normal",150,100,0x08,6.2500,1024,12,10,0xB8B0,0x4486,0x44A2,0x0000,0xCEC6A8,0xC51847
6,"Panzerminos",90,53,180,38,10,60,50,0x0050,31.2500,0,"NONE",0,"Normal",180,10,0x08,6.2500,1024,8,10,0xB850,0x4486,0x44A2,0x0000,0xCEC6F2,0xC5183B
7,"Doppelgänger",700,85,200,32,30,60,32,0x0064,39.0625,0,"NONE",0,"Normal",400,333,0x00,0.0000,1024,10,8,0xB7F0,0x57DE,0x0000,0x462E,0xCEC73C,0xC51908
8,"Gestrüpp",60,23,80,0,10,20,55,0x0032,19.5313,0,"NONE",0,"Normal",50,40,0x0C,9.3750,1024,5,10,0xBD30,0x4486,0x44A2,0x0000,0xCEC786,0xC519DF
9,"Bastetzepter",100,41,240,0,8,40,25,0x0046,27.3438,0,"NONE",0,"Normal",160,60,0x08,6.2500,1024,12,7,0xBD10,0x4486,0x44A2,0x0000,0xCEC7D0,0xC519D2
10,"Blutpudding",100,110,240,0,15,50,0,0x0000,0.0000,0,"NONE",0,"Normal",600,40,0x08,6.2500,1024,8,10,0xBDD0,0x448E,0x44A6,0x0000,0xCEC81A,0xC519C6
11,"Bioschleim",70,31,120,0,15,45,0,0x0000,0.0000,0,"NONE",0,"Normal",50,30,0x08,6.2500,1024,8,10,0xBDF0,0x448A,0x44A6,0x0000,0xCEC864,0xC519B0
12,"Sabberblob",70,42,160,0,15,55,0,0x0000,0.0000,0,"NONE",0,"Normal",150,30,0x08,6.2500,1024,8,10,0xB850,0x448E,0x44A6,0x0000,0xCEC8AE,0xC519BB
13,"Satyr",100,50,160,16,10,60,25,0x0032,19.5313,0,"NONE",0,"Normal",70,10,0x08,6.2500,1024,8,10,0xB7B0,0x4486,0x44A2,0x0000,0xCEC8F8,0xC51835
14,"Satyr",100,50,160,16,10,60,25,0x0032,19.5313,0,"NONE",0,"Normal",70,10,0x08,6.2500,1024,8,10,0xB7D0,0x4486,0x44A2,0x0000,0xCEC942,0xC51835
15,"Nuklearmorpher",300,117,200,0,0,0,55,0x0032,19.5313,0,"NONE",0,"Normal",500,0,0x08,6.2500,1024,8,10,0xBDF0,0x4486,0x44A2,0x0000,0xCEC98C,0xC51826
16,"Morphkopierer",30,0,0,0,0,0,55,0x0032,19.5313,0,"NONE",0,"Normal",0,0,0x08,6.2500,1024,8,10,0xB7F0,0x4486,0x44A2,0x0000,0xCEC9D6,0xC51818
17,"Wächtereinheit",30,2,0,0,0,20,120,0x0008,3.1250,0,"NONE",0,"Normal",0,0,0x08,6.2500,1024,8,10,0xB790,0x4486,0x44A2,0x0000,0xCECA20,0xC51809
18,"Wächtereinheit",500,125,320,32,14,60,120,0x0032,19.5313,0,"NONE",0,"Normal",500,20,0x08,6.2500,1024,8,10,0xB790,0x4486,0x44A2,0x0000,0xCECA6A,0xC51809
19,"Reinigungsroboter",600,85,160,57,7,25,55,0x0032,19.5313,0,"NONE",0,"Normal",600,280,0x00,0.0000,1024,8,10,0xB770,0x4486,0x44A2,0x0000,0xCECAB4,0xC517F7
20,"Aegis",3800,20,80,32,10,25,55,0x0032,19.5313,0,"NONE",0,"Normal",3000,1200,0x00,0.0000,1024,8,40,0x0000,0x4486,0x0000,0x0000,0xCECAFE,0xC517AC
21,"Tentakel",400,52,160,12,10,40,100,0x0014,7.8125,0,"NONE",0,"Normal",500,0,0x00,0.0000,1024,8,10,0xB6B0,0x448A,0x0000,0x0000,0xCECB48,0xC5176C
22,"Minitentakel",200,32,160,16,10,60,70,0x001E,11.7188,0,"NONE",0,"Normal",300,0,0x00,0.0000,1024,8,10,0xB6B0,0x448A,0x0000,0x0000,0xCECB92,0xC51775
23,"Monsterqualle",2500,0,0,22,0,60,0,0x0000,0.0000,0,"NONE",0,"Normal",5000,0,0x00,0.0000,1024,8,10,0xB6B0,0x4496,0x0000,0x0000,0xCECBDC,0xC5175E
24,"(unnamed)",1,32,0,0,25,35,32,0x000A,3.9063,0,"NONE",0,"Normal",100,0,0x00,0.0000,1024,8,5,0xC190,0x4486,0x0000,0x0000,0xCECC26,0x000000
25,"Baumdrache",2000,86,120,0,15,30,55,0x0032,19.5313,0,"NONE",0,"Normal",2200,2000,0x00,0.0000,1024,8,20,0xC650,0x4496,0x0000,0x0000,0xCECC70,0xC5179B
26,"Feuerdrache",3200,71,160,0,10,25,40,0x0032,19.5313,0,"NONE",0,"Normal",3300,2000,0x00,0.0000,1024,15,20,0xC630,0x4486,0x0000,0x0000,0xCECCBA,0xC5178F
27,"Cybermax",2400,55,200,51,10,70,55,0x0032,19.5313,0,"NONE",0,"Normal",850,200,0x08,6.2500,1024,10,14,0xB730,0x4496,0x0000,0x0000,0xCECD04,0xC517C0
28,"Rattus",3425,0,0,0,10,25,0,0x0000,0.0000,0,"NONE",0,"Normal",1050,1000,0x00,0.0000,1024,8,20,0xC610,0x4496,0x0000,0x0000,0xCECD4E,0xC51788
29,"Ratte",20,30,120,38,0,25,55,0x0032,19.5313,0,"NONE",22,"If hits, 1/8 chance of inflicting Plague",30,10,0x08,6.2500,1024,6,10,0xC610,0x448E,0x44A6,0x0000,0xCECD98,0xC51782
30,"Ratte",20,35,120,38,0,25,55,0x0032,19.5313,0,"NONE",22,"If hits, 1/8 chance of inflicting Plague",30,10,0x08,6.2500,1024,8,10,0xBD70,0x448E,0x44A6,0x0000,0xCECDE2,0xC51782
31,"Vigor",1050,53,100,51,0,100,55,0x0032,19.5313,0,"NONE",0,"Normal",1050,1000,0x00,0.0000,1024,10,11,0xB5B0,0x4496,0x0000,0x0000,0xCECE2C,0xC51758
32,"Bastet",1,0,0,0,0,0,0,0x0000,0.0000,0,"NONE",0,"Normal",0,0,0x00,0.0000,1024,10,0,0xB570,0x4486,0x0000,0x0000,0xCECE76,0xC51744
33,"Bastet",1200,40,80,16,0,60,55,0x0032,19.5313,0,"NONE",0,"Normal",1200,1000,0x00,0.0000,1024,20,18,0xB570,0x4486,0x0000,0x0000,0xCECEC0,0xC51744
34,"Bastet",3000,145,80,16,0,60,55,0x0032,19.5313,0,"NONE",0,"Normal",3000,1000,0x00,0.0000,1024,20,18,0xBD90,0x4486,0x0000,0x0000,0xCECF0A,0xC51744
35,"Irrlicht",40,13,40,0,8,35,55,0x0032,19.5313,0,"NONE",0,"Normal",4,4,0x00,0.0000,1024,4,8,0xB4B0,0x4486,0x0000,0x0000,0xCECF54,0xC5173B
36,"Lavarex",1000,37,40,41,5,100,155,0x0046,27.3438,0,"NONE",0,"Normal",500,900,0x00,0.0000,1024,5,20,0xB670,0x4486,0x0000,0x0000,0xCECF9E,0xC51728
37,"Dinotaurus",2600,70,120,0,5,100,155,0x0046,27.3438,0,"NONE",0,"Normal",2500,3000,0x00,0.0000,1024,10,20,0xBAF0,0x4486,0x0000,0x0000,0xCECFE8,0xC51730
38,"Raptor",50,27,48,38,10,75,60,0x003C,23.4375,0,"NONE",0,"Normal",24,48,0x08,6.2500,1024,7,20,0xB530,0x4486,0x449E,0x0000,0xCED032,0xC51642
39,"Raptor",300,80,48,38,25,75,60,0x003C,23.4375,0,"NONE",0,"Normal",290,48,0x08,6.2500,1024,7,20,0xBC90,0x4486,0x449E,0x0000,0xCED07C,0xC51642
40,"Echsenkönig",250,30,92,16,15,70,55,0x0032,19.5313,0,"NONE",0,"Normal",160,200,0x08,6.2500,1024,5,10,0xB510,0x4486,0x449E,0x0000,0xCED0C6,0xC5166F
41,"Echsenbrut",125,25,80,16,15,60,55,0x0032,19.5313,0,"NONE",0,"Normal",80,50,0x08,6.2500,1024,5,10,0xB4F0,0x4486,0x449E,0x0000,0xCED110,0xC51664
42,"Pirat",200,53,40,48,10,50,45,0x0032,19.5313,0,"NONE",0,"Normal",100,10,0x08,6.2500,1024,20,10,0xB390,0x4486,0x449E,0x0000,0xCED15A,0xC51701
43,"Morbius",60,28,80,16,15,50,45,0x0032,19.5313,0,"NONE",28,"If hits, 1/8 chance of inflicting Plague, 1/8 chance of inflicting Confound, 3/4 chance of inflicting nothing",20,75,0x08,6.2500,1024,20,10,0xB3B0,0x4486,0x449E,0x0000,0xCED1A4,0xC51707
44,"Ureus",160,36,80,16,10,50,50,0x0032,19.5313,0,"NONE",18,"If hits, 1/4 chance of inflicting Poison",120,40,0x08,6.2500,1024,20,10,0xB1F0,0x4486,0x449E,0x0000,0xCED1EE,0xC516F3
45,"Sachmet",200,41,120,32,10,50,55,0x0032,19.5313,0,"NONE",0,"Normal",250,250,0x08,6.2500,1024,20,10,0xB2F0,0x4486,0x449E,0x0000,0xCED238,0xC516F9
46,"Minitaurus",500,56,76,48,5,60,80,0x0001,0.3906,0,"NONE",0,"Normal",1000,10,0x08,6.2500,1024,7,10,0xB330,0x4486,0x449E,0x0000,0xCED282,0xC5171D
47,"Feuerflamingo",30,14,56,0,10,50,55,0x0032,19.5313,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",20,15,0x08,6.2500,1024,20,10,0xB3D0,0x4486,0x44A2,0x0000,0xCED2CC,0xC5170F
48,"Flippo",40,18,60,32,15,50,30,0x0032,19.5313,2,"(FLAG_MINUS30_HIT_PENALTY_VS_AI_PLAYER_CHARACTER)",0,"Normal",12,19,0x08,6.2500,1024,14,6,0xB250,0x448E,0x44A6,0x0000,0xCED316,0xC516BA
49,"Gifttarantel",40,14,48,38,0,30,30,0x0028,15.6250,0,"NONE",20,"Don't attempt attack if Insect Incense possessed + If hits, 1/4 chance of inflicting Poison",40,12,0x08,6.2500,1024,8,6,0xB410,0x448E,0x44A6,0x0000,0xCED360,0xC516C1
50,"Sandkrabbler",74,33,48,48,15,30,30,0x0028,15.6250,0,"NONE",20,"Don't attempt attack if Insect Incense possessed + If hits, 1/4 chance of inflicting Poison",72,18,0x08,6.2500,1024,12,6,0xB450,0x448E,0x44A6,0x0000,0xCED3AA,0xC516CE
51,"Witwenbeine",160,47,160,48,0,30,30,0x0028,15.6250,0,"NONE",20,"Don't attempt attack if Insect Incense possessed + If hits, 1/4 chance of inflicting Poison",180,30,0x08,6.2500,1024,8,6,0xB430,0x448E,0x44A6,0x0000,0xCED3F4,0xC516E7
52,"Schädelgeier",40,28,80,-63,0,60,80,0x0032,19.5313,0,"NONE",0,"Normal",300,40,0x08,6.2500,1024,14,14,0xBD10,0x448E,0x449E,0x0000,0xCED43E,0xC51601
