Index,Weapon Name,Attack Power,Familie,Familie Desc,Obtained Flags (Addresses),Obtained Flags (Bit weights),Description,Unknown Raw Data [01],Unknown Raw Data [02],Unknown Raw Data [03],Unknown Raw Data [04],Unknown Raw Data [05],Unknown Raw Data [06],Unknown Raw Data [07],Unknown Raw Data [08],Unknown Raw Data [09],Unknown Raw Data [10],Unknown Raw Data [11],Unknown Raw Data [12],Unknown Raw Data [13],Unknown Raw Data [14],Unknown Raw Data [15],Unknown Raw Data [16],[PTR] Data Info,[PTR] Weapon Name,[PTR] Weapon Description
0,"Knochenknüppel",10,0x0000,"Sword",0x22DA,0x0002,"Effektiv gegen Moskitos.",0xAD70,0x0020,0x457E,0x458E,0x459E,0x45BE,0x45CE,0x45DE,0x45EE,0x45AE,0x456E,0x44FE,0x44FE,0x0028,0x0000,0x0000,0xC43F26,0xC507A0,0xC50838
1,"Drachentöter",20,0x0000,"Sword",0x22DA,0x0004,"Liegt gut in der Hand.",0xAD90,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002A,0x0000,0x0000,0xC43F4A,0xC5077C,0xC50886
2,"Exkalibur",30,0x0000,"Sword",0x22DA,0x0008,"Das Schwert aus der Legende.",0xADF0,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002C,0x0000,0x0000,0xC43F6E,0xC50789,0xC50851
3,"Laserschwert",50,0x0000,"Sword",0x22DA,0x0010,"Das ultimative Schwert.",0xADD0,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002E,0x0000,0x0000,0xC43F92,0xC50793,0xC5086E
4,"Tarantelaxt",15,0x0002,"Axe",0x22DA,0x0020,"Zerstört störendes Buschwerk.",0xAD30,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0030,0x0000,0x0000,0xC43FB6,0xC507AF,0xC5089D
5,"Bronzeaxt",25,0x0002,"Axe",0x22DA,0x0040,"Zertrümmert sogar solide Felsen.",0xADB0,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0032,0x0000,0x0000,0xC43FDA,0xC507BB,0xC508BB
6,"Streitaxt",35,0x0002,"Axe",0x22DA,0x0080,"Vernichtet alle Arten von Gegnern.",0xADF0,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0034,0x0000,0x0000,0xC43FFE,0xC507C5,0xC508DC
7,"Atomaxt",50,0x0002,"Axe",0x22DB,0x0001,"Zerteilt alles - sogar Atome.",0xADD0,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0036,0x0000,0x0000,0xC44022,0xC507CF,0xC508FF
8,"Speer",20,0x0004,"Spear",0x22DB,0x0002,"Die ideale Nahkampfwaffe.",0xAD90,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x0038,0x0000,0x0000,0xC44046,0xC507D7,0xC5091D
9,"Bronzespeer",30,0x0004,"Spear",0x22DB,0x0004,"Eine höchst ansehnliche Waffe.",0xADB0,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003A,0x0000,0x0000,0xC4406A,0xC507DD,0xC50937
10,"Elfenbeinspeer",40,0x0004,"Spear",0x22DB,0x0008,"Sogar Du kannst sie benutzen.",0xADF0,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003C,0x0000,0x0000,0xC4408E,0xC507E9,0xC50956
11,"Neutronenspeer",50,0x0004,"Spear",0x22DB,0x0010,"Neutralisiert die Gegner.",0xADD0,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003E,0x0000,0x0000,0xC440B2,0xC507F8,0xC50974
12,"Donnergranaten",200,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD50,0x0078,0x486A,0x485A,0x484A,0x452E,0x480A,0x480A,0x480A,0x483A,0x456E,0x0000,0x0000,0x0042,0x0000,0x0000,0xC440D6,0xC50807,0x000000
13,"Plasmaraketen",350,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD50,0x0078,0x486A,0x485A,0x484A,0x452E,0x481A,0x481A,0x481A,0x483A,0x456E,0x0000,0x0000,0x0044,0x0000,0x0000,0xC440FA,0xC50816,0x000000
14,"Cyberbomben",800,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD50,0x0078,0x486A,0x485A,0x484A,0x452E,0x482A,0x482A,0x482A,0x483A,0x456E,0x0000,0x0000,0x0046,0x0000,0x0000,0xC4411E,0xC50824,0x000000
