Index,Ingredient Name,Graphic Setup,[PTR] Sprite Info,[PTR] Sprite,[PTR] Ingredient Name
0,"Cera",0x6F03EAFE,0x0140,0xCC4EE3,0xC4149C
1,"Agua",0x24A42B84,0x013E,0xCC4EDC,0xC41487
2,"Vinagre",0xF42C71F2,0x013C,0xCC4ED5,0xC414A9
3,"Raíz",0xBDAD0DDE,0x013A,0xCC4ECE,0xC41482
4,"Aceite",0x80CEEE70,0x0138,0xCC4EC7,0xC4150F
5,"Setas",0x439E2DE2,0x0136,0xCC4EC0,0xC414E6
6,"Guindilla",0x528401F0,0x0134,0xCC4EB9,0xC41478
7,"Meteorito",0xCEE11F64,0x0132,0xCC4EB2,0xC414FA
8,"Cal",0xCDED8404,0x0130,0xCC4EAB,0xC414B7
9,"Hierro",0x03FC74DC,0x012E,0xCC4EA4,0xC414D1
10,"Pólvora",0x19E0D114,0x012A,0xCC4E96,0xC414EC
11,"Grasa",0xED3E46C0,0x0128,0xCC4E8F,0xC414F4
12,"Pluma",0x841B040C,0x0126,0xCC4E88,0xC414E0
13,"Etanol",0xFF67AF1E,0x0124,0xCC4E81,0xC414C3
14,"Hielo Seco",0x1D843EE1,0x0122,0xCC4E7A,0xC41504
15,"Cristal",0xE20D6FE1,0x0120,0xCC4E73,0xC414A1
16,"Arcilla",0x1FFF9C02,0x011E,0xCC4E6C,0xC4148C
17,"Azufre",0x10CFBA32,0x011C,0xCC4E65,0xC414CA
18,"Hueso",0x67C18B80,0x011A,0xCC4E5E,0xC414B1
19,"La Masa",0x0E72C184,0x012C,0xCC4E9D,0xC414BB
20,"Cenizas",0xAF2D603A,0x0118,0xCC4E57,0xC41494
21,"Bellota",0x540B8C1F,0x0142,0xCC4EEA,0xC414D8
