Index,Call Bead Spell Name,Spell Might Value,TargetFlags,TargetFlags Description,Influence Type,Influence Type Desc,[PTR] Invocation Script,[PTR] Sprite Info,[PTR] Sprite Related,Unknown Value 1,Unknown Value 2,[PTR] Call Bead Spell Name
0,"Chispa Vital",200,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",2,"Healing",0x0044,0x00F8,0x5BF2,0xC312,0x0000,0xC4155B
1,"Ola de calor",225,0x0210,"Enemies: multiple is forced, all enemies on screen",0,"Direct Attack",0x0046,0x00FA,0x5BEE,0xC332,0x0002,0xC41545
2,"Tormenta",225,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x0048,0x00FC,0x5BFA,0xC332,0x0004,0xC41552
3,"Superrayo",150,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x004A,0x00FE,0x5BF6,0xC332,0x0006,0xC4153B
4,"Vuelta Atrás",0,0x0288,"Allies: only multiple Boy & Dog allowed (selects him both alive or dead)",-1,"Other",0x004C,0x0100,0x5BFE,0xC312,0x0008,0xC41568
5,"Anillo Curativo",400,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",2,"Healing",0x004E,0x0102,0x5C02,0xC332,0x000A,0xC41575
6,"Confusión",12,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x0050,0x0104,0x5C06,0xC312,0x000C,0xC41585
7,"Resurrección",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0052,0x0106,0x5C0A,0xC312,0x000E,0xC4158F
8,"Aura",50,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0054,0x0108,0x5C0E,0xC312,0x0010,0xC4159C
9,"Terremoto",281,0x0210,"Enemies: multiple is forced, all enemies on screen",0,"Direct Attack",0x0056,0x010A,0x5C12,0xC332,0x0012,0xC415A1
10,"Escudo",62,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0058,0x010C,0x5C16,0xC312,0x0014,0xC415AB
11,"Plaga",40,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x005A,0x010E,0x5C1A,0xC332,0x0016,0xC415B2
12,"Hipnosis",62,0x0210,"Enemies: multiple is forced, all enemies on screen",-1,"Other",0x005C,0x0110,0x5C1E,0xC332,0x0018,0xC415B8
13,"Caos",150,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x005E,0x0116,0x5C2A,0xC312,0x001A,0xC415D8
14,"Puntos",12,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0060,0x0112,0x5C22,0xC312,0x001C,0xC415C2
15,"Rayo eléctrico",331,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x0062,0x0114,0x5C26,0xC312,0x001E,0xC415C9
