Index,NPC Name,HP,Attack,Defense,Magic Defense,Evade,Hit,Aggresion Range,Aggresion Chance Code,Aggresion Chance (%),Unique Trait Flags,Unique Trait Flags Desc,Attack Properties,Attack Properties Desc,Experience,Money,Chanze Prize Drop Code,Chanze Prize Drop (%),Chargeup limit,Chargeup gain per frame,Unknown maybe collision related,Palette,Death Script - NoSpoils,Death Script - Spoils,Block Script,[PTR] NPC Stats,[PTR] NPC Name
0,"Perro Sombra",120,61,160,32,30,60,32,0x00FF,99.6094,0,"NONE",0,"Normal",20,20,0x00,0.0000,1024,10,16,0xBBF2,0x4486,0x0000,0x48EE,0xCEC536,0xC41984
1,"Calavera Voladora",200,36,0,16,0,80,80,0x0032,19.5313,0,"NONE",0,"Normal",20,20,0x08,6.2500,1024,10,14,0xBC12,0x4486,0x449E,0x0000,0xCEC580,0xC4167A
2,"Luz Errante",40,41,160,0,8,35,55,0x0032,19.5313,0,"NONE",0,"Normal",20,20,0x00,0.0000,1024,10,8,0xBFF2,0x4486,0x0000,0x0000,0xCEC5CA,0xC417F6
3,"Estatua de Cobra",100,88,1200,51,0,100,80,0x00C8,78.1250,0,"NONE",24,"If hits, inflicts Poison",100,10,0x00,0.0000,1024,40,0,0xBBD2,0x4486,0x0000,0x0000,0xCEC614,0xC41973
4,"Estatua de Cobra",100,88,1200,51,0,100,80,0x00C8,78.1250,0,"NONE",24,"If hits, inflicts Poison",100,10,0x00,0.0000,1024,40,0,0xBBD2,0x4486,0x0000,0x0000,0xCEC65E,0xC41973
5,"Oglin",120,47,88,0,10,60,55,0x0032,19.5313,0,"NONE",0,"Normal",150,100,0x08,6.2500,1024,12,10,0xB8B2,0x4486,0x44A2,0x0000,0xCEC6A8,0xC418DF
6,"Erizo",90,53,180,38,10,60,50,0x0050,31.2500,0,"NONE",0,"Normal",180,10,0x08,6.2500,1024,8,10,0xB852,0x4486,0x44A2,0x0000,0xCEC6F2,0xC418D9
7,"Chico Sombra",700,85,200,32,30,60,32,0x0064,39.0625,0,"NONE",0,"Normal",400,333,0x00,0.0000,1024,10,8,0xB7F2,0x57DE,0x0000,0x462E,0xCEC73C,0xC41991
8,"Arbusto Volador",60,23,80,0,10,20,55,0x0032,19.5313,0,"NONE",0,"Normal",50,40,0x0C,9.3750,1024,5,10,0xBD32,0x4486,0x44A2,0x0000,0xCEC786,0xC41A6F
9,"Gato Momia",100,41,240,0,8,40,25,0x0046,27.3438,0,"NONE",0,"Normal",160,60,0x08,6.2500,1024,12,7,0xBD12,0x4486,0x44A2,0x0000,0xCEC7D0,0xC41A64
10,"Gelatina Roja",100,110,240,0,15,50,0,0x0000,0.0000,0,"NONE",0,"Normal",600,40,0x08,6.2500,1024,8,10,0xBDD2,0x448E,0x44A6,0x0000,0xCEC81A,0xC41A56
11,"Gelatina Verde",70,31,120,0,15,45,0,0x0000,0.0000,0,"NONE",0,"Normal",50,30,0x08,6.2500,1024,8,10,0xBDF2,0x448A,0x44A6,0x0000,0xCEC864,0xC41A39
12,"Gelatina Azul",70,42,160,0,15,55,0,0x0000,0.0000,0,"NONE",0,"Normal",150,30,0x08,6.2500,1024,8,10,0xB852,0x448E,0x44A6,0x0000,0xCEC8AE,0xC41A48
13,"Sátiro",100,50,160,16,10,60,25,0x0032,19.5313,0,"NONE",0,"Normal",70,10,0x08,6.2500,1024,8,10,0xB7B2,0x4486,0x44A2,0x0000,0xCEC8F8,0xC418D2
14,"Sátiro",100,50,160,16,10,60,25,0x0032,19.5313,0,"NONE",0,"Normal",70,10,0x08,6.2500,1024,8,10,0xB7D2,0x4486,0x44A2,0x0000,0xCEC942,0xC418D2
15,"Nucleogoblin",300,117,200,0,0,0,55,0x0032,19.5313,0,"NONE",0,"Normal",500,0,0x08,6.2500,1024,8,10,0xBDF2,0x4486,0x44A2,0x0000,0xCEC98C,0xC418C5
16,"Goblin",30,0,0,0,0,0,55,0x0032,19.5313,0,"NONE",0,"Normal",0,0,0x08,6.2500,1024,8,10,0xB7F2,0x4486,0x44A2,0x0000,0xCEC9D6,0xC418BE
17,"Roboguarda",30,2,0,0,0,20,120,0x0008,3.1250,0,"NONE",0,"Normal",0,0,0x08,6.2500,1024,8,10,0xB792,0x4486,0x44A2,0x0000,0xCECA20,0xC418B3
18,"Roboguarda",500,125,320,32,14,60,120,0x0032,19.5313,0,"NONE",0,"Normal",500,20,0x08,6.2500,1024,8,10,0xB792,0x4486,0x44A2,0x0000,0xCECA6A,0xC418B3
