Index,Weapon Name,Attack Power,Familie,Familie Desc,Obtained Flags (Addresses),Obtained Flags (Bit weights),Description,Unknown Raw Data [01],Unknown Raw Data [02],Unknown Raw Data [03],Unknown Raw Data [04],Unknown Raw Data [05],Unknown Raw Data [06],Unknown Raw Data [07],Unknown Raw Data [08],Unknown Raw Data [09],Unknown Raw Data [10],Unknown Raw Data [11],Unknown Raw Data [12],Unknown Raw Data [13],Unknown Raw Data [14],Unknown Raw Data [15],Unknown Raw Data [16],[PTR] Data Info,[PTR] Weapon Name,[PTR] Weapon Description
0,"Rompehuesos",10,0x0000,"Sword",0x22DA,0x0002,"El Fémur de la Furia.  Útil para matar mosquitos.",0xAD72,0x0020,0x457E,0x458E,0x459E,0x45BE,0x45CE,0x45DE,0x45EE,0x45AE,0x456E,0x44FE,0x44FE,0x0028,0x0000,0x0000,0xC33F26,0xC407AF,0xC40859
1,"Espada Gladiadora",20,0x0000,"Sword",0x22DA,0x0004,"Una espada antigua de fuerza legendaria.",0xAD92,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002A,0x0000,0x0000,0xC33F4A,0xC4077F,0xC408EC
2,"Espada Sagrada",30,0x0000,"Sword",0x22DA,0x0008,"Nacida del fuego y forjada a mano para un caballero.",0xADF2,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002C,0x0000,0x0000,0xC33F6E,0xC40791,0xC4088B
3,"Espada Nuclear",50,0x0000,"Sword",0x22DA,0x0010,"La espada definitiva, forjada de neutrones.",0xADD2,0x0020,0x45FE,0x460E,0x461E,0x463E,0x464E,0x465E,0x466E,0x462E,0x456E,0x450E,0x450E,0x002E,0x0000,0x0000,0xC33F92,0xC407A0,0xC408C0
4,"Garra Arácnida",15,0x0002,"Axe",0x22DA,0x0020,"Golpea y corta con esta antigua hacha.",0xAD32,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0030,0x0000,0x0000,0xC33FB6,0xC407BB,0xC40915
5,"Hacha de Bronce",25,0x0002,"Axe",0x22DA,0x0040,"Sólida y fuerte, puede destrozar la roca.",0xADB2,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0032,0x0000,0x0000,0xC33FDA,0xC407CA,0xC4093C
6,"Hacha del Caballero",35,0x0002,"Axe",0x22DA,0x0080,"Pulveriza a tus enemigos con este destructor de armaduras.",0xADF2,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0034,0x0000,0x0000,0xC33FFE,0xC407DA,0xC40966
7,"Hacha Atómica",50,0x0002,"Axe",0x22DB,0x0001,"Parte troncos, arbustos, cabezas y átomos.",0xADD2,0x0028,0x467E,0x468E,0x469E,0x46BE,0x46CE,0x46DE,0x46EE,0x46AE,0x456E,0x451E,0x451E,0x0036,0x0000,0x0000,0xC34022,0xC407EE,0xC409A1
8,"Lanza de Cuerno",20,0x0004,"Spear",0x22DB,0x0002,"Excelente para clavarla a poca distancia.",0xAD92,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x0038,0x0000,0x0000,0xC34046,0xC407FC,0xC409CC
9,"Lanza de Bronce",30,0x0004,"Spear",0x22DB,0x0004,"Un arma tan antigua como los Juegos Olímpicos.",0xADB2,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003A,0x0000,0x0000,0xC3406A,0xC4080C,0xC409F6
10,"Lanza",40,0x0004,"Spear",0x22DB,0x0008,"Con esta lanza, te sentirás todo un luchador.",0xADF2,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003C,0x0000,0x0000,0xC3408E,0xC4081C,0xC40A25
11,"Lanza Láser",50,0x0004,"Spear",0x22DB,0x0010,"La lanza del futuro, con punta de titanio.",0xADD2,0x0024,0x46FE,0x470E,0x471E,0x473E,0x474E,0x475E,0x476E,0x472E,0x456E,0x0000,0x0000,0x003E,0x0000,0x0000,0xC340B2,0xC40822,0xC40A53
12,"Bala Trueno",200,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD52,0x0078,0x486A,0x485A,0x484A,0x452E,0x480A,0x480A,0x480A,0x483A,0x456E,0x0000,0x0000,0x0042,0x0000,0x0000,0xC340D6,0xC4082E,0x000000
13,"Bala Atómica",350,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD52,0x0078,0x486A,0x485A,0x484A,0x452E,0x481A,0x481A,0x481A,0x483A,0x456E,0x0000,0x0000,0x0044,0x0000,0x0000,0xC340FA,0xC4083A,0x000000
14,"Ciberbala",800,0x0006,"Bazooka",0x22DB,0x0020,"(undescribed)",0xAD52,0x0078,0x486A,0x485A,0x484A,0x452E,0x482A,0x482A,0x482A,0x483A,0x456E,0x0000,0x0000,0x0046,0x0000,0x0000,0xC3411E,0xC40847,0x000000
