Index,Armor Name,Deffense Effective Value,Deffense Visual Value,Default Sell Price,Unknown_Pointer1,Unknown_Value1,[PTR] Sprite Info,[PTR] Data Info,[PTR] Armor Name
0,"Grass Vest",3,3,0,0x60AD,0x00A0,0x00A0,0xC43B02,0xC463CD
1,"Shell Plate",4,4,30,0x60AD,0x00A2,0x00A2,0xC43B0C,0xC463D8
2,"Dino Skin",7,7,50,0x60AD,0x00A4,0x00A4,0xC43B16,0xC463E4
3,"Bronze Armor",12,12,70,0x60AD,0x00A6,0x00A6,0xC43B20,0xC463EE
4,"Stone Vest",19,19,100,0x60AD,0x00A8,0x00A8,0xC43B2A,0xC463FB
5,"Centurion Cape",28,28,120,0x60AD,0x00AA,0x00AA,0xC43B34,0xC46406
6,"Silver Mail",40,40,140,0x60AD,0x00AC,0x00AC,0xC43B3E,0xC46415
7,"Gold-Plated Vest",55,55,160,0x60AD,0x00AE,0x00AE,0xC43B48,0xC46421
8,"Shining Armor",73,73,180,0x60AD,0x00B0,0x00B0,0xC43B52,0xC46432
9,"Magna Mail",94,94,200,0x60AD,0x00B2,0x00B2,0xC43B5C,0xC46440
10,"Titanium Vest",124,124,220,0x60AD,0x00B4,0x00B4,0xC43B66,0xC4644B
11,"Virtual Vest",169,169,240,0x60AD,0x00B6,0x00B6,0xC43B70,0xC46459
12,"Grass Hat",2,2,260,0x60AD,0x00B8,0x00B8,0xC43B7A,0xC46466
13,"Shell Hat",3,3,20,0x60AD,0x00BA,0x00BA,0xC43B84,0xC46470
14,"Dino Helm",6,6,30,0x60AD,0x00BC,0x00BC,0xC43B8E,0xC4647A
15,"Bronze Helmet",11,11,40,0x60AD,0x00BE,0x00BE,0xC43B98,0xC46484
16,"Obsidian Helm",18,18,50,0x60AD,0x00C0,0x00C0,0xC43BA2,0xC46492
17,"Centurion Helm",27,27,60,0x60AD,0x00C2,0x00C2,0xC43BAC,0xC464A0
18,"Titan's Crown",39,39,70,0x60AD,0x00C4,0x00C4,0xC43BB6,0xC464AF
19,"Dragon Helm",54,54,80,0x60AD,0x00C6,0x00C6,0xC43BC0,0xC464BD
20,"Knight's Helm",72,72,90,0x60AD,0x00C8,0x00C8,0xC43BCA,0xC464C9
21,"Lightning Helm",93,93,100,0x60AD,0x00CA,0x00CA,0xC43BD4,0xC464D7
22,"Old Reliable",117,117,110,0x60AD,0x00CC,0x00CC,0xC43BDE,0xC464E6
23,"Brainstorm",144,144,120,0x60AD,0x00CE,0x00CE,0xC43BE8,0xC464F3
24,"Vine Bracelet",1,1,130,0x60AD,0x00D0,0x00D0,0xC43BF2,0xC464FE
25,"Mammoth Guard",2,2,15,0x60AD,0x00D2,0x00D2,0xC43BFC,0xC4650C
26,"Claw Guard",5,5,25,0x60AD,0x00D4,0x00D4,0xC43C06,0xC4651A
27,"Serpent Bracer",10,10,35,0x60AD,0x00D6,0x00D6,0xC43C10,0xC46525
28,"Bronze Gauntlet",17,17,45,0x60AD,0x00D8,0x00D8,0xC43C1A,0xC46534
29,"Gloves Of Ra",26,26,55,0x60AD,0x00DA,0x00DA,0xC43C24,0xC46544
30,"Iron Bracer",37,37,65,0x60AD,0x00DC,0x00DC,0xC43C2E,0xC46551
31,"Magician's Ring",50,50,75,0x60AD,0x00DE,0x00DE,0xC43C38,0xC4655D
32,"Dragon's Claw",65,65,85,0x60AD,0x00E0,0x00E0,0xC43C42,0xC4656D
33,"Cyberglove",82,82,95,0x60AD,0x00E2,0x00E2,0xC43C4C,0xC4657B
34,"Protector Ring",101,101,105,0x60AD,0x00E4,0x00E4,0xC43C56,0xC46586
35,"Virtual Glove",122,122,115,0x60AD,0x00E6,0x00E6,0xC43C60,0xC46595
36,"Leather Collar",5,5,125,0x60AD,0x00E8,0x00E8,0xC43C6A,0xC465A3
37,"Spiky Collar",42,42,50,0x60AD,0x00EA,0x00EA,0xC43C74,0xC465B2
38,"Defender Collar",86,86,100,0x60AD,0x00EC,0x00EC,0xC43C7E,0xC465BF
39,"Spot's Collar",135,135,150,0x60AD,0x00EE,0x00EE,0xC43C88,0xC465CF
