Index,Call Bead Spell Name,Spell Might Value,TargetFlags,TargetFlags Description,Influence Type,Influence Type Desc,[PTR] Invocation Script,[PTR] Sprite Info,[PTR] Sprite Related,Unknown Value 1,Unknown Value 2,[PTR] Call Bead Spell Name
0,"Life Spark",200,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",2,"Healing",0x0044,0x00F8,0x55B2,0xC30B,0x0000,0xC46D53
1,"Heat Wave",225,0x0210,"Enemies: multiple is forced, all enemies on screen",0,"Direct Attack",0x0046,0x00FA,0x55AE,0xC32B,0x0002,0xC46D43
2,"Storm",225,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x0048,0x00FC,0x55BA,0xC32B,0x0004,0xC46D4D
3,"Flare",150,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x004A,0x00FE,0x55B6,0xC32B,0x0006,0xC46D3D
4,"Time Warp",0,0x0288,"Allies: only multiple Boy & Dog allowed (selects him both alive or dead)",-1,"Other",0x004C,0x0100,0x55BE,0xC30B,0x0008,0xC46D5E
5,"First Aid",400,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",2,"Healing",0x004E,0x0102,0x55C2,0xC32B,0x000A,0xC46D68
6,"Confound",12,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x0050,0x0104,0x55C6,0xC30B,0x000C,0xC46D72
7,"Regenerate",0,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0052,0x0106,0x55CA,0xC30B,0x000E,0xC46D7B
8,"Aura",50,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0054,0x0108,0x55CE,0xC30B,0x0010,0xC46D86
9,"Shock Wave",281,0x0210,"Enemies: multiple is forced, all enemies on screen",0,"Direct Attack",0x0056,0x010A,0x55D2,0xC32B,0x0012,0xC46D8B
10,"Shield",62,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0058,0x010C,0x55D6,0xC30B,0x0014,0xC46D96
11,"Plague",40,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x005A,0x010E,0x55DA,0xC32B,0x0016,0xC46D9D
12,"Hypnotize",62,0x0210,"Enemies: multiple is forced, all enemies on screen",-1,"Other",0x005C,0x0110,0x55DE,0xC32B,0x0018,0xC46DA4
13,"Disrupt",150,0x2010,"Enemies: any enemy single target or multiple",-1,"Other",0x005E,0x0116,0x55EA,0xC30B,0x001A,0xC46DCB
14,"Restore",12,0x0008,"Allies: Boy, Dog or multiple Boy & Dog (dog not selectable if dead)",-1,"Other",0x0060,0x0112,0x55E2,0xC30B,0x001C,0xC46DB6
15,"Electra-Bolt",331,0x2010,"Enemies: any enemy single target or multiple",0,"Direct Attack",0x0062,0x0114,0x55E6,0xC30B,0x001E,0xC46DBE
